id,aegis_name,name,buy,sell,weight,slots,drop_announce,container,no_drop,no_trade,no_cart,no_storage,script
4001,Poring_Card,Poring Card,20,,10,0,False,False,False,False,False,False,"bonus bLuk,2;
bonus bFlee2,1;
"
4002,Fabre_Card,Fabre Card,20,,10,0,False,False,False,False,False,False,"bonus bVit,1;
bonus bMaxHP,100;
"
4003,Pupa_Card,Pupa Card,20,,10,0,False,False,False,False,False,False,"bonus bMaxHP,700;
"
4004,Drops_Card,Drops Card,20,,10,0,False,False,False,False,False,False,"bonus bDex,1;
bonus bHit,3;
"
4005,Poring__Card,Santa Poring Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEle,Ele_Dark,20;
"
4006,Lunatic_Card,Lunatic Card,20,,10,0,False,False,False,False,False,False,"bonus bLuk,1;
bonus bCritical,1;
bonus bFlee2,1;
"
4007,Pecopeco_Egg_Card,Peco Peco Egg Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddRace,RC_Formless,20;
"
4008,Picky_Card,Picky Card,20,,10,0,False,False,False,False,False,False,"bonus bStr,1;
bonus bBaseAtk,10;
"
4009,Chonchon_Card,Chonchon Card,20,,10,0,False,False,False,False,False,False,"bonus bAgi,1;
bonus bFlee,2;
"
4010,Wilow_Card,Willow Card,20,,10,0,False,False,False,False,False,False,"bonus bMaxSP,80;
"
4011,Picky__Card,Picky Egg Card,20,,10,0,False,False,False,False,False,False,"bonus bVit,1;
bonus bMaxHP,100;
"
4012,Thief_Bug_Egg_Card,Thief Bug Egg Card,20,,10,0,False,False,False,False,False,False,"bonus bMaxHP,400;
"
4013,Andre_Egg_Card,Andre Egg Card,20,,10,0,False,False,False,False,False,False,"bonus bMaxHPrate,5;
"
4014,Roda_Frog_Card,Roda Frog Card,20,,10,0,False,False,False,False,False,False,"bonus bMaxHP,400;
bonus bMaxSP,50;
"
4015,Condor_Card,Condor Card,20,,10,0,False,False,False,False,False,False,"bonus bFlee,10;
"
4016,Thief_Bug_Card,Thief Bug Card,20,,10,0,False,False,False,False,False,False,"bonus bAgi,1;
"
4017,Savage_Babe_Card,Savage Babe Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEff,Eff_Stun,500;
"
4018,Andre_Larva_Card,Andre Larva Card,20,,10,0,False,False,False,False,False,False,"bonus bInt,1;
bonus bMaxSP,10;
"
4019,Hornet_Card,Hornet Card,20,,10,0,False,False,False,False,False,False,"bonus bStr,1;
bonus bBaseAtk,3;
"
4020,Farmiliar_Card,Familiar Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEff,Eff_Blind,500;
bonus bBaseAtk,5;
"
4021,Rocker_Card,Rocker Card,20,,10,0,False,False,False,False,False,False,"bonus bDex,1;
bonus bBaseAtk,5;
"
4022,Spore_Card,Spore Card,20,,10,0,False,False,False,False,False,False,"bonus bVit,2;
"
4023,Desert_Wolf_Babe_Card,Baby Desert Wolf Card,20,,10,0,False,False,False,False,False,False,"bonus bInt,1;
"
4024,Plankton_Card,Plankton Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEff,Eff_Sleep,500;
bonus bBaseAtk,5;
"
4025,Skeleton_Card,Skeleton Card,20,,10,0,False,False,False,False,False,False,"bonus bBaseAtk,10;
bonus2 bAddEff,Eff_Stun,200;
"
4026,Thief_Bug_Female_Card,Female Thief Bug Card,20,,10,0,False,False,False,False,False,False,"bonus bAgi,1;
bonus bFlee,1;
"
4027,Kukre_Card,Kukre Card,20,,10,0,False,False,False,False,False,False,"bonus bAgi,2;
"
4028,Tarou_Card,Tarou Card,20,,10,0,False,False,False,False,False,False,"bonus bStr,2;
"
4029,Wolf_Card,Wolf Card,20,,10,0,False,False,False,False,False,False,"bonus bBaseAtk,15;
bonus bCritical,1;
"
4030,Mandragora_Card,Mandragora Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEle,Ele_Wind,20;
"
4031,Pecopeco_Card,Peco Peco Card,20,,10,0,False,False,False,False,False,False,"bonus bMaxHPrate,10;
"
4032,Ambernite_Card,Ambernite Card,20,,10,0,False,False,False,False,False,False,"bonus bDef,2;
"
4033,Poporing_Card,Poporing Card,20,,10,0,False,False,False,False,False,False,"skill ""TF_DETOXIFY"",1;
"
4034,Worm_Tail_Card,Wormtail Card,20,,10,0,False,False,False,False,False,False,"bonus bDex,2;
"
4035,Hydra_Card,Hydra Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddRace,RC_DemiHuman,20;
bonus2 bAddRace,RC_Player_Human,20;
"
4036,Muka_Card,Muka Card,20,,10,0,False,False,False,False,False,False,"bonus bHPrecovRate,10;
"
4037,Snake_Card,Snake Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEff,Eff_Poison,500;
bonus bBaseAtk,5;
"
4038,Zombie_Card,Zombie Card,20,,10,0,False,False,False,False,False,False,"bonus bHPrecovRate,20;
"
4039,Stainer_Card,Stainer Card,20,,10,0,False,False,False,False,False,False,"bonus2 bResEff,Eff_Silence,2000;
bonus bDef,1;
"
4040,Creamy_Card,Creamy Card,20,,10,0,False,False,False,False,False,False,"skill ""AL_TELEPORT"",1;
"
4041,Coco_Card,Coco Card,20,,10,0,False,False,False,False,False,False,"bonus2 bResEff,Eff_Sleep,2000;
bonus bDef,1;
"
4042,Steel_Chonchon_Card,Steel Chonchon Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubEle,Ele_Wind,10;
bonus bDef,2;
"
4043,Andre_Card,Andre Card,20,,10,0,False,False,False,False,False,False,"bonus bBaseAtk,20;
"
4044,Smokie_Card,Smokie Card,20,,10,0,False,False,False,False,False,False,"skill ""TF_HIDING"",1;
"
4045,Horn_Card,Horn Card,20,,10,0,False,False,False,False,False,False,"bonus bLongAtkDef,35;
"
4046,Martin_Card,Martin Card,20,,10,0,False,False,False,False,False,False,"bonus2 bResEff,Eff_Blind,2000;
bonus bDef,1;
"
4047,Ghostring_Card,Ghostring Card,20,,10,0,False,False,False,False,False,False,"bonus bDefEle,Ele_Ghost;
bonus bHPrecovRate,-25;
"
4048,Poison_Spore_Card,Poison Spore Card,20,,10,0,False,False,False,False,False,False,"skill ""TF_POISON"",3;
"
4049,Vadon_Card,Vadon Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEle,Ele_Fire,20;
"
4050,Thief_Bug_Male_Card,Male Thief Bug Card,20,,10,0,False,False,False,False,False,False,"bonus bAgi,2;
"
4051,Yoyo_Card,Yoyo Card,20,,10,0,False,False,False,False,False,False,"bonus bFlee2,5;
bonus bAgi,1;
"
4052,Elder_Wilow_Card,Elder Willow Card,20,,10,0,False,False,False,False,False,False,"bonus bInt,2;
"
4053,Vitata_Card,Vitata Card,20,,10,0,False,False,False,False,False,False,"skill ""AL_HEAL"",1;
bonus bUseSPrate,25;
"
4054,Angeling_Card,Angeling Card,20,,10,0,False,False,False,False,False,False,"bonus bDefEle,Ele_Holy;
"
4055,Marina_Card,Marina Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEff,Eff_Freeze,500;
bonus bBaseAtk,5;
"
4056,Dustiness_Card,Dustiness Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubEle,Ele_Wind,30;
bonus bFlee,5;
"
4057,Metaller_Card,Metaller Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEff,Eff_Silence,500;
bonus bBaseAtk,5;
"
4058,Thara_Frog_Card,Thara Frog Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubRace,RC_DemiHuman,30;
bonus2 bSubRace,RC_Player_Human,30;
"
4059,Soldier_Andre_Card,Soldier Andre Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubRace,RC_Plant,30;
"
4060,Goblin_Card,Goblin Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddRace,RC_Brute,20;
bonus2 bAddRace,RC_Player_Doram,20;
"
4061,Cornutus_Card,Cornutus Card,20,,10,0,False,False,False,False,False,False,"bonus bUnbreakableArmor;
bonus bDef,1;
"
4062,Anacondaq_Card,Anacondaq Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEle,Ele_Poison,20;
"
4063,Caramel_Card,Caramel Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddRace,RC_Insect,20;
"
4064,Zerom_Card,Zerom Card,20,,10,0,False,False,False,False,False,False,"bonus bDex,3;
"
4065,Kaho_Card,Kaho Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEle,Ele_Earth,20;
"
4066,Orc_Warrior_Card,Orc Warrior Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubRace,RC_Brute,30;
bonus2 bSubRace,RC_Player_Doram,30;
"
4067,Megalodon_Card,Megalodon Card,20,,10,0,False,False,False,False,False,False,"bonus2 bResEff,Eff_Freeze,2000;
bonus bDef,1;
"
4068,Scorpion_Card,Scorpion Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddRace,RC_Plant,20;
"
4069,Drainliar_Card,Drainliar Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEle,Ele_Water,20;
"
4070,Eggyra_Card,Eggyra Card,20,,10,0,False,False,False,False,False,False,"bonus bSPrecovRate,15;
"
4071,Orc_Zombie_Card,Orc Zombie Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubEle,Ele_Undead,30;
bonus bFlee,5;
"
4072,Golem_Card,Golem Card,20,,10,0,False,False,False,False,False,False,"bonus bUnbreakableWeapon;
bonus bBaseAtk,5;
"
4073,Pirate_Skel_Card,Pirate Skeleton Card,20,,10,0,False,False,False,False,False,False,"skill ""MC_DISCOUNT"",5;
"
4074,BigFoot_Card,Bigfoot Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubRace,RC_Insect,30;
"
4075,Argos_Card,Argos Card,20,,10,0,False,False,False,False,False,False,"bonus2 bResEff,Eff_Stone,2000;
bonus bDef,1;
"
4076,Magnolia_Card,Magnolia Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEff,Eff_Curse,500;
bonus bBaseAtk,5;
"
4077,Phen_Card,Phen Card,20,,10,0,False,False,False,False,False,False,"bonus bNoCastCancel;
bonus bCastrate,25;
"
4078,Savage_Card,Savage Card,20,,10,0,False,False,False,False,False,False,"bonus bVit,3;
"
4079,Mantis_Card,Mantis Card,20,,10,0,False,False,False,False,False,False,"bonus bStr,3;
"
4080,Flora_Card,Flora Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddRace,RC_Fish,20;
"
4081,Hode_Card,Hode Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubEle,Ele_Earth,30;
bonus bFlee,5;
"
4082,Desert_Wolf_Card,Desert Wolf Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddSize,Size_Small,15;
bonus bBaseAtk,5;
"
4083,Rafflesia_Card,Rafflesia Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubRace,RC_Fish,30;
"
4084,Marine_Sphere_Card,Marine Sphere Card,20,,10,0,False,False,False,False,False,False,"skill ""SM_MAGNUM"",3;
"
4085,Orc_Skeleton_Card,Orc Skeleton Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddEle,Ele_Holy,20;
"
4086,Soldier_Skeleton_Card,Soldier Skeleton Card,20,,10,0,False,False,False,False,False,False,"bonus bCritical,9;
"
4087,Giearth_Card,Giearth Card,20,,10,0,False,False,False,False,False,False,"bonus2 bResEff,Eff_Confusion,10000;
bonus2 bSubEle,Ele_Earth,15;
"
4088,Frilldora_Card,Frilldora Card,20,,10,0,False,False,False,False,False,False,"skill ""AS_CLOAKING"",1;
"
4089,Sword_Fish_Card,Swordfish Card,20,,10,0,False,False,False,False,False,False,"bonus bDefEle,Ele_Water;
bonus bDef,1;
"
4090,Munak_Card,Munak Card,20,,10,0,False,False,False,False,False,False,"bonus2 bResEff,Eff_Stone,1500;
bonus2 bSubEle,Ele_Earth,5;
bonus bDef,1;
"
4091,Kobold_Card,Kobold Card,20,,10,0,False,False,False,False,False,False,"bonus bStr,1;
bonus bCritical,4;
"
4092,Skel_Worker_Card,Skeleton Worker Card,20,,10,0,False,False,False,False,False,False,"bonus2 bAddSize,Size_Medium,15;
bonus bBaseAtk,5;
"
4093,Obeaune_Card,Obeaune Card,20,,10,0,False,False,False,False,False,False,"skill ""AL_CURE"",1;
"
4094,Archer_Skeleton_Card,Archer Skeleton Card,20,,10,0,False,False,False,False,False,False,"bonus bLongAtkRate,10;
"
4095,Marse_Card,Marse Card,20,,10,0,False,False,False,False,False,False,"bonus2 bSubEle,Ele_Water,30;
bonus bFlee,5;
"
