id,aegis_name,name,type,sub_type,buy,sell,weight,attack,magic_attack,defense,range,slots,weapon_level,armor_level,equip_level_min,equip_level_max,refineable,jobs,classes,gender,locations,script,equip_script,unequip_script
1101,Sword,Sword,Weapon,1hSword,100,,500,25,0,0,1,3,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1102,Sword_,Sword,Weapon,1hSword,100,,500,25,0,0,1,4,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1103,Sword__,Sword,Weapon,1hSword,100,,500,25,0,0,1,0,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1104,Falchion,Falchion,Weapon,1hSword,1500,,600,39,0,0,1,3,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1105,Falchion_,Falchion,Weapon,1hSword,1500,,600,39,0,0,1,4,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1106,Falchion__,Falchion,Weapon,1hSword,1500,,600,39,0,0,1,0,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1107,Blade,Blade,Weapon,1hSword,2900,,700,53,0,0,1,3,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1108,Blade_,Blade,Weapon,1hSword,2900,,700,53,0,0,1,4,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1109,Blade__,Blade,Weapon,1hSword,2900,,700,53,0,0,1,0,1,,2,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1110,Lapier,Rapier,Weapon,1hSword,10000,,500,70,0,0,1,2,2,,14,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1111,Lapier_,Rapier,Weapon,1hSword,10000,,500,70,0,0,1,3,2,,14,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1112,Lapier__,Rapier,Weapon,1hSword,10000,,500,70,0,0,1,0,2,,14,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
