id,aegis_name,name,level,hp,sp,base_exp,job_exp,attack_min,attack_max,defense,magic_defense,str,agi,vit,int,dex,luk,size,race,element,element_level,attack_range,walk_speed,attack_delay,attack_motion,damage_motion,ai,class,modes,drop_count,mvp_drop_count
1001,SCORPION,Scorpion,24,1109,1,287,176,80,135,30,0,1,24,24,5,52,5,Small,Insect,Fire,1,1,200,1564,864,576,09,Normal,Detector,8,0
1002,PORING,Poring,1,50,1,2,1,7,10,0,5,1,1,1,0,6,30,Medium,Plant,Water,1,1,400,1872,672,480,2,Normal,,8,0
1004,HORNET,Hornet,8,169,1,19,15,22,27,5,5,6,20,8,10,17,5,Small,Insect,Wind,1,1,150,1292,792,216,3,Normal,Detector,7,0
1005,FARMILIAR,Familiar,8,155,1,28,15,20,28,0,0,1,12,8,5,28,0,Small,Brute,Dark,1,1,150,1276,576,384,4,Normal,,8,0
1007,FABRE,Fabre,2,63,1,3,2,8,11,0,0,1,2,4,0,7,5,Small,Insect,Earth,1,1,400,1672,672,480,1,Normal,Detector,8,0
1008,PUPA,Pupa,2,427,1,2,4,1,2,0,20,1,1,1,0,1,20,Small,Insect,Earth,1,0,1000,1001,1,1,06,Normal,Detector,8,0
1009,CONDOR,Condor,5,92,1,6,5,11,14,0,0,1,13,5,0,13,10,Medium,Brute,Wind,1,1,150,1148,648,480,3,Normal,,8,0
1010,WILOW,Willow,4,95,1,5,4,9,12,5,15,1,4,8,30,9,10,Medium,Plant,Earth,1,1,200,1672,672,432,1,Normal,,8,0
1011,CHONCHON,Chonchon,4,67,1,5,4,10,13,10,0,1,10,4,5,12,2,Small,Insect,Wind,1,1,200,1076,576,480,1,Normal,Detector,8,0
1012,RODA_FROG,Roda Frog,5,133,1,6,5,11,14,0,5,1,5,5,5,10,5,Medium,Fish,Water,1,1,200,2016,816,288,1,Normal,,6,0
1013,WOLF,Wolf,25,919,1,329,199,37,46,0,0,1,20,28,15,32,20,Medium,Brute,Earth,1,1,200,1054,504,432,3,Normal,,8,0
1014,SPORE,Spore,16,510,1,66,108,24,48,0,5,1,12,12,5,19,8,Medium,Plant,Water,1,1,200,1872,672,288,1,Normal,,8,0
1015,ZOMBIE,Zombie,15,534,1,50,33,67,79,0,10,1,8,7,0,15,0,Medium,Undead,Undead,1,1,400,2612,912,288,4,Normal,,6,0
1016,ARCHER_SKELETON,Archer Skeleton,31,3040,1,483,283,128,153,0,0,1,8,14,5,90,5,Medium,Undead,Undead,1,9,300,2864,864,576,5,Normal,,8,0
1018,CREAMY,Creamy,16,595,1,105,70,53,64,0,30,1,40,16,15,16,55,Small,Insect,Wind,1,1,150,1136,720,840,1,Normal,Detector,8,0
1019,PECOPECO,Peco Peco,19,531,1,159,72,50,64,0,0,1,13,13,25,27,9,Large,Brute,Fire,1,1,200,1564,864,576,3,Normal,,7,0
1020,MANDRAGORA,Mandragora,12,405,1,45,32,26,35,0,25,1,12,24,0,36,15,Medium,Plant,Earth,3,4,1000,1768,768,576,10,Normal,,8,0
1023,ORK_WARRIOR,Orc Warrior,24,1400,1,408,160,104,126,10,5,1,24,48,25,34,10,Medium,Demihuman,Earth,1,1,200,1864,864,288,4,Normal,,8,0
1024,WORM_TAIL,Wormtail,14,426,1,59,40,42,51,5,0,1,14,28,5,46,5,Medium,Plant,Earth,1,2,200,1048,48,192,17,Normal,,8,0
1025,SNAKE,Boa,15,471,1,72,48,46,55,0,0,1,15,15,10,35,5,Medium,Brute,Earth,1,1,200,1576,576,576,1,Normal,,8,0
1026,MUNAK,Munak,30,2872,1,601,318,150,230,0,0,1,15,20,5,46,15,Medium,Undead,Undead,1,1,200,2468,768,288,4,Normal,,8,0
1028,SOLDIER_SKELETON,Soldier Skeleton,29,2334,1,372,226,221,245,10,15,1,15,22,5,40,15,Medium,Undead,Undead,1,1,200,2276,576,432,4,Normal,,8,0
1029,ISIS,Isis,47,7003,1,3709,1550,423,507,10,35,38,65,43,50,66,15,Large,Demon,Dark,1,1,200,1384,768,336,09,Normal,Detector,8,0
1030,ANACONDAQ,Anacondaq,23,1109,1,300,149,124,157,0,0,1,23,28,10,36,5,Medium,Brute,Poison,1,1,200,1576,576,576,17,Normal,,8,0
1031,POPORING,Poporing,14,344,1,81,44,59,72,0,10,1,14,14,0,19,15,Medium,Plant,Poison,1,1,300,1672,672,480,2,Normal,,8,0
1032,VERIT,Verit,38,5272,1,835,517,389,469,0,5,1,19,38,0,38,20,Medium,Undead,Undead,1,1,250,2468,768,480,2,Normal,,8,0
1033,ELDER_WILOW,Elder Willow,20,693,1,163,101,58,70,10,30,1,20,25,35,38,30,Medium,Plant,Fire,2,1,200,1372,672,432,09,Normal,,8,0
1034,THARA_FROG,Thara Frog,22,2152,1,219,138,105,127,0,10,1,22,22,5,34,10,Medium,Fish,Water,2,1,200,2016,816,288,1,Normal,,7,0
1035,HUNTER_FLY,Hunter Fly,42,5242,1,1517,952,246,333,25,15,33,105,32,15,72,30,Small,Insect,Wind,2,1,150,676,576,480,4,Normal,Detector,8,0
1036,GHOUL,Ghoul,40,5418,1,1088,622,420,500,5,20,1,20,29,0,45,20,Medium,Undead,Undead,2,1,250,2456,912,504,4,Normal,,8,0
1037,SIDE_WINDER,Side Winder,43,4929,1,1996,993,240,320,5,10,38,43,40,15,115,20,Medium,Brute,Poison,1,1,200,1576,576,576,09,Normal,,8,0
1038,OSIRIS,Osiris,78,415400,1,71500,28600,780,2880,10,25,1,75,30,37,86,40,Medium,Undead,Undead,4,1,100,1072,672,384,21,Boss,Mvp,8,3
1039,BAPHOMET,Baphomet,81,668000,1,107250,37895,3220,4040,35,45,1,152,30,85,120,95,Large,Demon,Dark,3,2,100,768,768,576,21,Boss,Mvp,8,3
1040,GOLEM,Golem,25,3900,1,465,94,175,187,40,0,1,15,25,0,15,0,Large,Formless,Neutral,3,1,300,1608,816,396,17,Normal,,8,0
1041,MUMMY,Mummy,37,5176,1,800,602,305,360,0,10,28,19,32,0,63,20,Medium,Undead,Undead,2,1,300,1772,72,384,4,Normal,,8,0
1042,STEEL_CHONCHON,Steel Chonchon,17,530,1,109,71,54,65,15,0,1,43,17,5,33,10,Small,Insect,Wind,1,1,150,1076,576,480,7,Normal,Detector,8,0
1044,OBEAUNE,Obeaune,31,3952,1,644,407,141,165,0,40,1,31,31,55,74,85,Medium,Fish,Water,2,1,200,1872,672,288,09,Normal,,8,0
1045,MARC,Marc,36,6900,1,988,625,220,280,5,10,1,36,36,20,56,30,Medium,Fish,Water,2,1,150,1272,72,480,4,Normal,,8,0
